betroffene_anlage,matched_id,id_source,method,confidence,reasoning,matched_name,lat,lon
Wilhelmshaven (ENGIE),742,index,llm,high,ENGIE operates the Wilhelmshaven hard coal plant matching this large 1581 MW unit at the same coordinates.,Wilhelmshaven,53.56808,8.142918
Reservekraftwerk Altbach/Deizisau Block 1,265,index,llm,high,Direct name match with the 'Heizkraftwerk Altbach/Deizisau' variant and hard coal fuel type consistent with a reserve block.,Altbach Deizisau,48.718902,9.3713815
KMW_KW3,18298,index,llm,low,"KMW likely refers to Kraftwerksgesellschaft Mainz-Wiesbaden, whose plant appears as 'Mainz Phase', a plausible but uncertain match for block 3.",Mainz Phase,50.025872,8.24192
Gebersdorf 2,,,llm,none,No candidate corresponds to the Gebersdorf (Nürnberg) power plant location or name.,,,
50H Halle-Dieselstr HKW-BlockA,4695,index,llm,high,Direct name and location match for the Dieselstrasse CHP plant in Halle.,Dieselstrasse,51.457551,11.991449
50H Hamburg Wedel1,267,index,llm,medium,"Block 1 of the Wedel plant is the hard coal unit, matching the 253 MW coal candidate at the same coordinates.",Wedel,53.568151,9.724102
50H Berlin Marzahn,4903,index,llm,high,Direct name and location match for the Marzahn gas plant in Berlin.,Marzahn,52.525284,13.521298
Netzreservekraftwerk Bexbach A,322,index,llm,high,Direct name match for the Bexbach hard coal reserve power plant.,Bexbach,49.36139,7.237308
Netzreservekraftwerk Weiher C,264,index,llm,high,Direct name match for the Weiher hard coal reserve power plant.,Weiher,49.333966,7.028434
50H Halle-Trotha HKW,2776,index,llm,high,Direct match with the 'HKW Halle Trotha' variant and matching location.,Halle Trotha,51.523806,11.943448
50H Hamburg Tiefstack GuD,3249,index,llm,high,Direct match with the 'GuD Tiefstack' natural gas unit at the Tiefstack site in Hamburg.,Gud Tiefstack,53.526083,10.065517
Lippendorf VE,313,index,llm,medium,"VE likely denotes Vattenfall Europe's share in the Lippendorf lignite plant, matching the main lignite unit.",Lippendorf,51.1769265,12.376704
Boxberg (Standort),323,index,llm,high,Direct name match for the large Boxberg lignite power plant site.,Boxberg,51.41333425,14.563203
50H OWP Wikinger,143020,index,llm,high,Direct match with the Wikinger offshore wind farm.,Wikinger,54.836088842857144,14.067680271428571
SW München KW-Pool,,,llm,none,"This refers to a pooled portfolio of Stadtwerke München plants rather than a single specific unit, so no single candidate can be confidently matched.",,,
50H PV Witznitz,4679,index,llm,medium,The Silux Solarpark near Witznitz (Saxony) matches the PV plant location and type described.,Silux Solarpark Gmbh Co Kg,51.16642033333333,12.416004666666666
Lippendorf EnBW,313,index,llm,high,"EnBW co-owns the Lippendorf lignite plant, matching the main site entry.",Lippendorf,51.1769265,12.376704
Jänschwalde (Standort),315,index,llm,high,Direct name match for the large Jänschwalde lignite power plant.,Janschwalde,51.835981,14.453465
Schkopau,270,index,llm,high,Direct name match for the Schkopau lignite power plant.,Schkopau,51.401111,11.950833
Knapsack 1,722,index,llm,high,"Direct name match for the Knapsack natural gas power plant, block 1 corresponding to this large gas unit.",Knapsack,50.858679,6.845286
Irsching 5,721,index,llm,high,Irsching 5 is a gas-fired block of the Irsching plant matching id=721.,Irsching,48.767533,11.580019
Emsland Block B,1157,index,llm,high,"Emsland is a gas-fired plant with multiple blocks, matching id=1157.",Emsland,52.48027,7.305249999999999
50H OWP Arkona,,,llm,none,No offshore wind park named Arkona appears among the candidates.,,,
Emsland Block D,1157,index,llm,high,Emsland gas plant matches id=1157 for block D.,Emsland,52.48027,7.305249999999999
LAUSWARD_GUDF,3228,index,llm,medium,"GUDF (GuD Block F) at Lausward matches the natural gas plant at the same coordinates, id=3228 Swd Kwl Gte.",Swd Kwl Gte,51.222827,6.731094
Reservekraftwerk Walheim Block 2,1087,index,llm,medium,Walheim Block 2 is the oil-fired reserve unit matching id=1087.,Walheim,49.01598,9.15943
Heizkraftwerk Heilbronn Block 7,318,index,llm,high,Heilbronn Block 7 corresponds to the Heizkraftwerk Heilbronn plant id=318.,Heilbronn,49.17505666666667,9.207873333333334
Emsland Block C,1157,index,llm,high,Emsland gas plant matches id=1157 for block C.,Emsland,52.48027,7.305249999999999
NIEHL-31-GUD,1148,index,llm,high,Niehl GuD block matches Gud Niehl Rheinenergie id=1148.,Gud Niehl Rheinenergie,50.974163,6.988567666666666
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,314,index,llm,high,Rheinhafen Dampfkraftwerk Karlsruhe matches id=314.,Rheinhafen Dampfkraftwerk,49.01274,8.304255000000001
50H OWP Arcadis Ost 1,30734,index,llm,high,Arcadis Ost offshore wind park matches id=30734.,Arcadis Ost,54.81812503703704,13.657002740740742
ReserveKW Staudinger 5,699,index,llm,medium,Staudinger Block 5 is a hard coal unit matching id=699.,Staudinger,50.088056,8.952222
HAMMUENTROP_10,723,index,llm,medium,Hamm-Uentrop gas block corresponds to Trianel Gaskraftwerk Hamm id=723.,Trianel Gaskraftwerk Hamm,51.673559,7.9289665
HERDECKE_H6,719,index,llm,high,Herdecke Block H6 matches Cuno Herdecke Bhkw id=719.,Cuno Herdecke Bhkw,51.4036245,7.41565025
Rostock Kohlekraftwerk,319,index,llm,high,Rostock coal plant matches KNG Kraftwerk Rostock id=319.,Kng Rostock,54.14065,12.13102
HAMMUENTROP_20,723,index,llm,medium,Second Hamm-Uentrop gas block matches Trianel Gaskraftwerk Hamm id=723.,Trianel Gaskraftwerk Hamm,51.673559,7.9289665
Grosskraftwerk Mannheim Block 8,1083,index,llm,high,Grosskraftwerk Mannheim Block 8 matches id=1083.,Grosskraftwerk Mannheim,49.446975,8.492516
50H Neubrandenburg GuD,3252,index,llm,high,Neubrandenburg GuD matches Gud Nb Gt id=3252.,Gud Nb Gt,53.562547333333335,13.295647666666667
GERSTEINW_F (KapRes),691,index,llm,medium,Gersteinwerk gas block F capacity reserve matches the natural gas unit id=691.,Gersteinwerk,51.67324,7.710467
50H OWP Baltic Eagle,32180,index,llm,high,Baltic Eagle offshore wind park matches id=32180.,Baltic Eagle,54.83008946,13.858195599999998
Reservekraftwerk Heilbronn Block 6,318,index,llm,high,Heilbronn is a Hard Coal plant matching the block designation exactly.,Heilbronn,49.17505666666667,9.207873333333334
München Nord 2,739,index,llm,high,Swm Nord has variant 'Nord 2' and is located in Munich.,Swm Nord,48.180641,11.637754
WP Emsland,,,llm,none,No candidate wind farm named or located in Emsland is present in the list.,,,
NIEDERAUSSEM_H,312,index,llm,high,Niederaussem is the lignite plant with multiple blocks including H.,Niederaussem,50.990677,6.669720000000001
NIEDERAUSSEM_G,312,index,llm,high,Niederaussem is the lignite plant with multiple blocks including G.,Niederaussem,50.990677,6.669720000000001
50H Erfurt-Ost HKW GuD,1518,index,llm,high,Direct name match to Gud Erfurt Ost / HKW Erfurt-Ost.,Gud Erfurt Ost,51.0188434,11.0410548
50H Leipzig Nord GuD,1171,index,llm,high,Matches Heizkraftwerk Leipzig-Nord natural gas plant.,Leipzig Nord,51.351555600000005,12.3777212
BIBLIS_GT (bnBm),4901,index,llm,high,Exact name match Bnbm Gaskw Bib Gt located near Biblis.,Bnbm Gaskw Bib Gt,49.706078,8.415141
Netzreservekraftwerk BERGKAMEN_A,274,index,llm,high,Bergkamen hard coal plant directly matches the name.,Bergkamen,51.636945,7.619083
Grosskraftwerk Mannheim Block 9,1083,index,llm,high,GKM/Grosskraftwerk Mannheim matches the block-level entry.,Grosskraftwerk Mannheim,49.446975,8.492516
NIEDERAUSSEM_K,312,index,llm,high,Niederaussem lignite plant with block K.,Niederaussem,50.990677,6.669720000000001
Heizkraftwerk_Pforzheim,3258,index,llm,high,Direct match to Heizkraftwerk Pforzheim GmbH.,Pforzheim,48.896998,8.725477
UPM Schongau HKW3,3198,index,llm,high,UPM Schongau matches exactly in name and location.,Upm Schongau,47.808151,10.902341
50H Hamburg Tiefstack 2 HKW SK,730,index,llm,high,Tiefstack is a hard coal (SK) CHP plant in Hamburg matching block 2 designation.,Tiefstack,53.526083,10.065517
Grosskraftwerk Mannheim Block 6,1083,index,llm,high,GKM/Grosskraftwerk Mannheim matches the block-level entry.,Grosskraftwerk Mannheim,49.446975,8.492516
Leitzach Pool,298,index,llm,high,Swm Leitzach hydro plant with variant 'Leitzach 1' matches the pool name.,Swm Leitzach,47.874,11.871
STUMMHAFEN_10,,,llm,none,No candidate plant named or located at Stummhafen is present in the list.,,,
50H Hamburg MMB BHKW PtH,82762,index,llm,medium,Kwk Hamburg is a small natural-gas CHP unit in Hamburg consistent with a BHKW/PtH designation.,Kwk Hamburg,53.57571046875,10.0168583125
50H Berlin Reuter West,727,index,llm,high,Direct exact match to Reuter West hard coal plant in Berlin.,Reuter West,52.53207166666667,13.241943999999998
50H Leipzig Süd GuD,3654,index,llm,high,Leipzig Sud Gta is the natural gas GuD plant matching 'Leipzig Süd GuD'.,Leipzig Sud Gta,51.297278,12.38509
Heizkraftwerk Altbach/Deizisau GT E,27867,index,llm,high,GT (gas turbine) unit matches the natural-gas Altbach/Deizisau block rather than the hard-coal one.,Altbach Deizisau,48.71778225,9.37267225
Frankfurt West 4,1080,index,llm,medium,Frankfurt West block 4 best matches the HKW West/Wd Ffw plant located in Frankfurt at the same coordinates.,Wd Ffw,50.099,8.653
GUD_HERNE_6,1117,index,llm,high,GuD Herne directly corresponds to the natural-gas combined-cycle plant Gud Herne.,Gud Herne,51.5489,7.18335
Heizkraftwerk Altbach/Deizisau Block 2,265,index,llm,high,"Direct name match to Heizkraftwerk Altbach/Deizisau, the hard-coal main plant with numbered blocks.",Altbach Deizisau,48.718902,9.3713815
Thyrow D (SysRel),3248,index,llm,high,Thyrow gas turbine plant unit D matches the only Thyrow candidate.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Thyrow E (SysRel),3248,index,llm,high,Thyrow gas turbine plant unit E matches the only Thyrow candidate.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Thyrow C (SysRel),3248,index,llm,high,Thyrow gas turbine plant unit C matches the only Thyrow candidate.,Gasturbinenkraftwerk Thyrow,52.230249,13.302107
Netzreservekraftwerk Darmstadt/GTKW GT11,3299,index,llm,high,"GTKW Darmstadt directly matches the Netzreservekraftwerk Darmstadt gas turbine plant, unit GT11.",Gtkw Darmstadt,49.8856345,8.649099
Marbach GT 4 (bnBm),3275,index,llm,high,Marbach GT unit 4 matches the Marbach power plant (Dampfkraftwerk Marbach am Neckar).,Marbach,48.927387499999995,9.231165
NIEHL-II,1148,index,llm,high,NIEHL-II corresponds to HKW Niehl 2 / Gud Niehl Rheinenergie.,Gud Niehl Rheinenergie,50.974163,6.988567666666666
Reservekraftwerk Heilbronn Block 5,318,index,llm,high,Block 5 belongs to the Heilbronn hard-coal power plant.,Heilbronn,49.17505666666667,9.207873333333334
Gebersdorf GT,,,llm,none,No candidate corresponds to the Gebersdorf/Nürnberg location or plant name.,,,
Frankfurt West 2,1080,index,llm,medium,Frankfurt West block 2 best matches the HKW West/Wd Ffw plant at the same Frankfurt coordinates.,Wd Ffw,50.099,8.653
50H Dresden-Nossen,1154,index,llm,high,"Dresden-Nossen matches Gasturbinen Nossener Brücke, a gas turbine plant in Dresden.",Gasturbinen Nossener Brucke,51.042464,13.707669
50H Dresden-Reick,3418,index,llm,high,Dresden-Reick matches the Gasmotoren Dresden Reick plant.,Gasmotoren Dresden Reick,51.0255,13.7845
Linden GKL GT 1,,,llm,none,No candidate represents the Linden (Gemeinschaftskraftwerk Linden) plant in Hannover.,,,
Linden GKL DT,,,llm,none,No candidate represents the Linden (Gemeinschaftskraftwerk Linden) plant in Hannover.,,,
Netzreservekraftwerk Darmstadt/GTKW GT12,3299,index,llm,high,"GTKW Darmstadt directly matches the Netzreservekraftwerk Darmstadt gas turbine plant, unit GT12.",Gtkw Darmstadt,49.8856345,8.649099
WP_JUECHEN A44N,159489,index,llm,low,"Among several Jüchen wind park candidates, the larger aggregated Wp Juchen entry is the most plausible match for a grid-connection segment near the A44.",Wp Juchen,51.056349857142855,6.498829000000001
50H Stralsund BHKW+PtH,,,llm,none,No candidate corresponds to a Stralsund combined heat/power plant with power-to-heat.,,,
ReserveKW Zolling 5,257,index,llm,high,Zolling hard coal plant matches name and location directly.,Zolling,48.455489,11.796122
Netzreservekraftwerk HERNE_4,317,index,llm,medium,Herne block 4 corresponds to the hard coal Herne plant rather than the GuD unit.,Herne,51.549201,7.18396
ReserveKW Staudinger 4,699,index,llm,high,Staudinger block 4 is the 522 MW hard coal unit at the Staudinger site.,Staudinger,50.088056,8.952222
50H InfraLeuna IKW,8569,index,llm,high,InfraLeuna Industriekraftwerk matches the Raffineriekraftwerk Leuna oil plant at the same location.,Raffineriekraftwerk Leuna,51.291343000000005,12.001454
50H Berlin Lichterfelde,1172,index,llm,high,Direct name and location match for Lichterfelde gas plant in Berlin.,Lichterfelde,52.423388,13.309598
ReserveKW Ingolstadt 4,8622,index,llm,high,"Ingolstadt oil plant matches name and location, block 4 within capacity range.",Ingolstadt,48.761882,11.50246
Hannover (GKH) 2,,,llm,none,No candidate corresponds to the Gemeinschaftskraftwerk Hannover (GKH) plant.,,,
LAUSWARD_AGUD,8669,index,llm,medium,"Lausward Phase is the only Lausward plant candidate, matching the GuD block reference despite fuel type mismatch.",Lausward Phase,51.220831,6.731547
EGM_DTS,,,llm,none,"No candidate matches the abbreviation EGM_DTS in name, fuel, or location.",,,
GERSTEINW_DTG2 (KapRes),691,index,llm,medium,Gersteinwerk natural gas unit best matches the 'G' designation in DTG2 for a gas-fired block.,Gersteinwerk,51.67324,7.710467
HKW BARMEN 1,1528,index,llm,high,HKW Barmen natural gas plant matches name and CHP designation directly.,Barmen,51.269,7.2
WP Wilstermarsch,,,llm,none,No wind park candidate named Wilstermarsch or nearby location matches.,,,
Waldeck 6,29,index,llm,high,Waldeck hydro plant matches name; block 6 falls within the Waldeck complex.,Waldeck,51.16743333333333,9.046336666666669
Waldeck 5,29,index,llm,high,Waldeck hydro plant matches name; block 5 falls within the Waldeck complex.,Waldeck,51.16743333333333,9.046336666666669
GERSTEINW_G (KapRes),691,index,llm,medium,The 'G' suffix suggests the natural gas Gersteinwerk unit rather than the coal unit.,Gersteinwerk,51.67324,7.710467
Grosskraftwerk Mannheim Block 7,1083,index,llm,high,Direct match to Grosskraftwerk Mannheim hard coal plant.,Grosskraftwerk Mannheim,49.446975,8.492516
WEISWEILERVGT_H3,1167,index,llm,medium,"VGT indicates a gas turbine unit, matching the natural gas Weisweiler block rather than the lignite one.",Weissweiler,50.837339,6.319244
